	01_St1_D1	02_St1_D15	03_St1_D45	04_St2_D1	05_St2_D15	06_St2_D45	07_St3_D1	08_St3_D15	09_St3_D45	10_St4_D1	11_St4_D15	12_St4_D45	13_St5_D1	14_St5_D15	15_St5_D45	16_St6_D1	17_St6_D15	18_St6_D45	19_St7_D1	20_St7_D15	21_St7_D45	22_St8_D1	23_St8_D15	24_St8_D45	25_St9_D1	26_St10_D1	27_St10_D15	28_St10_D45	29_St11_D1	30_St11_D15	31_St11_D45	32_St12_D1	33_St12_D15	34_St12_D45	35_St13_D1	36_St13_D15	37_St13_D45	38_St14_D1	39_St14_D15	40_St14_D45	41_St15_D1	42_St15_D15	43_St15_D45	44_St16_D1	45_St16_D15	46_St16_D45	47_St17_D1	48_St17_D15	49_St17_D45	50_St18_D1	51_St18_D15	52_St18_D45	53_St19_D1	54_St19_D15	55_St19_D45	56_St20_D1	57_St20_D15	58_St20_D45	59_St21_D1	60_St21_D15	61_St21_D45	62_St22_D1	63_St22_D15	64_St22_D45
ASV44	45	1224	2028	60	714	846	89	1280	1210	112	1321	1317	927	1074	1545	759	1984	2917	1006	1147	1187	2101	2456	1761	1919	1051	1526	3292	678	964	2203	470	576	2291	684	914	1313	703	995	2209	1179	595	905	2306	2270	1601	178	854	349	274	1057	4496	605	1046	4101	218	1772	2560	1287	4953	2102	3506	10583	1957
ASV45	8714	2451	1094	8754	3271	638	6051	1849	740	7045	1366	1130	2169	1652	292	3427	1348	733	3313	1649	237	1237	1057	189	77	73	126	45	293	370	78	339	312	1035	778	724	2032	562	1962	1615	2290	2854	680	2840	2184	552	55	0	10	6084	10	151	3352	17	2336	1225	97	284	755	104	859	82	171	598
ASV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV47	125	637	2094	85	675	673	96	462	907	214	694	2116	286	422	1355	266	715	1138	331	312	1523	1017	2166	1986	2640	1425	1432	1922	690	995	1521	579	787	1957	396	311	893	263	382	1030	604	211	202	616	611	1021	6949	5217	8055	184	6120	2790	442	5548	2519	611	4824	2868	1789	3027	1047	31	77	2846
ASV48	352	2168	2798	568	1598	1258	914	1769	2197	765	1304	1504	3420	2411	2057	3670	2605	2105	3192	1528	1064	2496	1727	887	3557	2042	1462	2132	850	748	1865	964	1198	1638	1285	456	537	1566	694	1222	1596	1818	3557	746	488	768	1490	934	1165	1466	828	1220	1205	996	1741	859	930	1050	527	412	754	997	774	1196
ASV49	37	212	962	33	135	595	43	235	585	29	191	291	116	125	306	124	407	433	120	152	353	406	503	656	12694	5515	4753	2449	740	1777	2181	966	2033	2015	529	497	798	334	526	697	485	197	241	425	317	542	2261	5814	3847	308	3924	1587	365	4164	2246	50	5030	1171	534	1629	1083	228	1123	10290
ASV50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV51	129	803	2551	198	480	995	264	852	1441	244	676	1372	1508	1537	1519	1224	1680	2343	1639	1283	1429	1333	1227	1282	2361	2191	2178	3267	514	931	2197	599	827	2154	517	503	1207	343	636	1440	910	368	357	972	882	1115	2721	2386	3215	312	2261	2378	300	2193	2582	62	1960	2061	588	1515	1624	311	1317	3139
ASV52	2	42	2572	0	24	1551	0	36	1054	0	36	2017	2	7	160	3	23	117	2	10	234	6	24	703	5318	1765	1966	5815	225	859	7210	225	308	6893	185	295	2317	68	144	767	204	229	322	78	144	1039	1407	2968	3208	8	2436	3565	56	2717	8693	0	2227	2946	143	3482	2216	0	5	4198
ASV53	9	36	8668	9	21	7141	6	68	2987	11	43	5671	35	49	509	14	178	232	22	48	936	23	43	3362	689	68	66	1113	0	28	1091	7	7	1896	0	17	172	6	18	358	1132	892	3335	94	179	1253	678	3463	1565	101	6790	2172	272	8286	1905	70	5479	1418	567	7077	166	12	21	504
